counter	timestamp	deadtime	chA_height	chA_position	chA_integral	chB_height	chB_position	chB_integral	chC_height	chC_position	chC_integral	chD_height	chD_position	chD_integral
1	1679327159086332.0	0.016112648429016777	487.614	100	1.0190409e-07	658.29913	100	1.381552e-07	282.92056	100	5.953725561523438e-08	238.87914	100	5.205604e-08
2	1679327159136790.2	0.004746529659918456	188.09128	100	3.8672493e-08	262.35272	100	5.7283426e-08	369.62552	100	7.764642626953125e-08	407.38406	100	8.480359e-08
3	1679327159153322.0	0.009738283627510651	233.58092	100	4.8526694e-08	216.03198	100	4.453787e-08	499.77188	100	1.0415872143554689e-07	409.2726	100	8.590508e-08
4	1679327159210171.8	0.0026467898759238596	204.17761	100	4.4464777e-08	454.91986	100	9.8973665e-08	325.75812	100	7.0983138671875e-08	316.18338	100	6.6009754e-08
5	1679327159217856.8	0.011914813772398912	364.98105	100	8.0084675e-08	316.83575	100	6.6087026e-08	317.6309	100	6.882641357421876e-08	528.39954	100	1.11169705e-07
7	1679327159270346.8	0.004769559986798539	239.08566	100	5.2135988e-08	458.57767	100	9.654613e-08	385.825	100	7.701174902343751e-08	293.07703	100	6.1776774e-08
8	1679327159382448.8	0.001742582337015424	366.64682	100	7.762872e-08	358.46786	100	7.576436e-08	800.48486	100	1.6744441259765627e-07	418.09723	100	8.7110465e-08
9	1679327159386578.5	0.030789118044538457	241.71648	100	5.30459e-08	0.0	0	0.0	286.91464	100	5.986011230468751e-08	255.03262	100	5.5817935e-08
10	1679327159421830.2	0.00408935753151509	449.62848	100	9.453635e-08	221.20834	100	4.8786053e-08	436.48093	100	9.208391772460938e-08	394.3691	100	8.533545e-08
11	1679327159485396.2	0.0021157510916375312	231.7521	100	5.0725866e-08	0.0	0	0.0	216.27301	100	4.7085724121093756e-08	315.01877	100	6.7986555e-08
12	1679327159510539.2	0.005583785218611354	507.1298	100	1.05390306e-07	345.21277	100	7.2179475e-08	532.9471	100	1.1213647070312502e-07	405.54486	100	8.4385476e-08
13	1679327159526772.0	0.00889828641910048	245.48926	100	5.3940532e-08	298.095	100	6.5383645e-08	214.53458	100	4.482980224609376e-08	268.82162	100	5.3694908e-08
14	1679327159588330.2	0.002853006302163175	139.81158	100	2.953271e-08	267.92038	100	5.6380568e-08	255.42964	100	5.092722900390625e-08	0.0	0	0.0
15	1679327159599484.5	0.009998709843891111	255.62723	100	5.600457e-08	261.9149	100	5.505941e-08	335.66968	100	6.981196826171876e-08	694.0746	100	1.449094e-07
16	1679327159605544.0	0.023365034636609133	390.4099	100	8.20431e-08	350.4633	100	7.300436e-08	120.45035	100	2.59888828125e-08	503.117	100	1.0599181e-07
17	1679327159614867.0	0.01433398177536603	324.6777	100	6.806881e-08	497.0223	100	1.04325395e-07	534.9206	100	1.1211502685546876e-07	258.85004	100	5.321467e-08
18	1679327159623710.8	0.011714417119822525	327.42487	100	6.778818e-08	361.93033	100	7.634506e-08	215.12564	100	4.74259970703125e-08	253.50835	100	5.533629e-08
19	1679327159670746.5	0.0032305433186490457	170.67133	100	3.4244763e-08	125.56143	100	2.6458082e-08	667.36224	100	1.39958625e-07	0.0	0	0.0
20	1679327159671145.2	0.18282988871224165	475.94983	100	9.9479514e-08	247.04974	100	4.8780446e-08	304.82474	100	6.458816235351562e-08	454.9671	100	9.509874e-08
21	1679327159699552.0	0.008147981352214633	209.83542	100	4.4604185e-08	587.7695	100	1.2259477e-07	296.13095	100	6.298929711914062e-08	396.8289	100	8.305446e-08
22	1679327159722753.5	0.00801161581315841	566.12134	100	1.1884444e-07	217.14081	100	4.7485724e-08	102.549194	100	2.10889091796875e-08	297.99652	100	6.563332e-08
