event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
1	1678811501873711.8	7.864403237688665e-05	13774	375.96887	509	12655.274	469.8265	509	15197.785	0.0	0	0.0	0.0	0	0.0	439.976	3952	14127.285	230.9301	3953	7132.7544	0.0	0	0.0	0.0	0	0.0
2	1678811505926067.8	0.00011501216422772243	1096	287.98596	508	9699.232	286.67877	508	8863.042	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	318.52853	782	10176.947	0.0	0	0.0	0.0	0	0.0
3	1678811509237273.2	0.00010664095186806361	4092	335.98364	508	11367.357	187.13089	508	5768.83	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	103.515625	1531	2996.6516	0.0	0	0.0	0.0	0	0.0
4	1678811509577682.5	0.0009337087781233364	466	303.98007	509	10375.145	171.21368	508	5118.0522	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	281.26538	625	8752.5205	0.0	0	0.0
5	1678811520160073.8	3.0437657009645964e-05	1316	315.97565	509	10391.216	254.8136	509	7565.9116	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	71.3121	838	2346.4329	0.0	0	0.0
7	1678811525253266.8	8.022933960060172e-05	11120	267.97797	508	9107.197	386.21124	508	12687.556	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	87.137054	3288	2589.9324	0.0	0	0.0
11	1678811528793794.0	0.0010210863159835736	662	371.97037	509	12824.002	461.86023	508	14225.841	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	441.9599	674	14804.968	0.0	0	0.0	0.0	0	0.0
12	1678811531104662.2	0.0001442344447329821	1870	199.9877	507	6719.247	175.18146	508	5621.1196	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	114.880646	975	3439.0674	0.0	0	0.0
13	1678811531566101.2	0.0007956361938004441	2448	251.98389	508	8155.186	306.5791	509	10044.687	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	305.02582	1121	10294.16	226.60864	1120	7415.1924
15	1678811536375529.8	0.00025226698308729615	8420	219.98032	507	7875.43	238.89642	509	7713.2217	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	91.1048	2613	2702.8223	0.0	0	0.0
17	1678811537322756.2	0.0008998645006463161	918	255.9824	508	8751.291	290.6465	510	9483.715	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	983.2831	738	31333.566	186.8541	739	6275.6025
20	1678811543962515.0	4.883810083489623e-05	3878	247.98535	509	8499.26	366.29553	508	11584.286	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	221.84116	1478	6853.387	0.0	0	0.0
21	1678811545707357.8	0.00024428392021588795	9032	671.9365	509	23223.178	175.18146	509	5487.448	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	103.515625	2767	3033.3882	0.0	0	0.0	0.0	0	0.0
22	1678811546043448.2	0.0009395374977646955	2840	351.97772	509	12487.468	362.32776	509	11174.13	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	558.5476	1219	18108.803	0.0	0	0.0
23	1678811546831273.8	0.0003613535687296606	3504	263.97943	509	8531.179	250.83044	508	7831.7505	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	174.30487	1385	5293.839	143.1164	1384	4552.8345
24	1678811548467391.0	0.00012066456446067165	1112	451.9716	510	15803.36	326.4948	508	10800.335	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	301.07343	787	9427.786	0.0	0	0.0
25	1678811550218573.5	0.00011912801019463474	2490	411.97098	508	13855.673	326.4948	509	9923.919	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	106.96048	1131	3427.195	0.0	0	0.0
26	1678811550911316.5	0.0006182683325850119	1768	419.96802	509	13499.131	302.59595	511	9507.558	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	158.44919	952	4735.9604	0.0	0	0.0
28	1678811557495571.8	0.00021050827655926487	708	375.96887	508	12831.31	601.20874	508	19141.184	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	473.8097	685	15505.217	0.0	0	0.0	0.0	0	0.0
29	1678811557923315.8	0.0008845458634522035	844	519.9465	508	17555.129	270.74615	511	9521.76	0.0	0	0.0	0.0	0	0.0	95.99533	721	3066.72	95.54935	720	2698.0234	0.0	0	0.0	0.0	0	0.0
31	1678811559227217.8	0.0019839052196266903	3834	263.97943	507	7987.1714	179.16461	508	5698.8936	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	67.68271	1466	1756.0912	0.0	0	0.0	0.0	0	0.0
33	1678811562463505.8	0.00039644852737675694	1212	271.9765	508	8875.454	290.64655	508	10311.019	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	150.52902	811	4511.396	0.0	0	0.0
35	1678811567382697.0	0.0001625671365044648	232	371.97034	510	12655.483	238.8964	510	11624.256	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	107.49878	568	4503.4976	0.0	0	0.0	0.0	0	0.0
36	1678811568076516.2	0.0005889838036326624	5182	303.98007	509	10243.565	274.72934	508	9202.765	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	55.733246	1804	1647.751	0.0	0	0.0	0.0	0	0.0
37	1678811569017538.5	0.0004091883173314942	544	195.98917	507	6603.4224	589.25934	509	19283.17	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	155.28113	644	5491.452	0.0	0	0.0	0.0	0	0.0
38	1678811571003607.0	0.00015258421964636475	3386	387.97983	509	13135.638	310.56226	510	9650.889	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	435.7468	1356	14274.247	0.0	0	0.0
40	1678811575732629.5	9.267512883807343e-05	4918	247.98535	509	8699.597	322.51166	508	10108.396	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	182.225	1737	5615.499	127.21457	1739	4149.963
41	1678811578858179.8	0.0001228114672347015	2316	375.96887	508	12335.215	266.76306	508	8572.812	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	146.57663	1087	4603.2314	0.0	0	0.0
43	1678811580596468.0	0.002445434248127803	4366	251.98389	508	8495.378	334.44574	509	10570.221	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	91.58154	1600	2775.936	0.0	0	0.0	0.0	0	0.0
44	1678811592495607.2	2.5947427746331855e-05	6230	443.97455	509	14467.065	398.16068	510	12991.543	0.0	0	0.0	0.0	0	0.0	311.9771	2067	9695.195	47.78235	2067	1026.0667	0.0	0	0.0	0.0	0	0.0
45	1678811592632464.5	0.0030150316386836217	148	343.98068	509	11735.484	410.09473	509	12466.83	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	983.2831	546	32950.695	0.0	0	0.0
46	1678811594012347.8	0.00022307797845388125	1500	247.98537	508	8019.252	226.94696	507	7014.215	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	269.37744	883	8601.246	218.65775	882	7203.525
48	1678811597283105.5	0.00022402832782238786	1710	387.97983	510	12931.381	418.061	509	13094.149	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	75.64899	937	2156.0537	0.0	0	0.0	0.0	0	0.0
49	1678811600645623.5	9.614706246261982e-05	1388	243.98683	509	8583.221	207.04663	509	6270.4956	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	63.376587	856	1736.7219	0.0	0	0.0
50	1678811602094995.8	0.00024509630557620414	11038	407.97244	508	13667.525	326.4948	509	10984.822	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	83.18466	3268	2489.5862	0.0	0	0.0
51	1678811603923223.0	0.00017501320097710053	1002	455.97012	509	15943.742	477.79282	510	15517.196	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	222.96384	760	7786.258	0.0	0	0.0	0.0	0	0.0
54	1678811605460259.2	0.001588082339456576	650	427.96506	510	14547.361	469.8265	510	14844.8	0.0	0	0.0	0.0	0	0.0	251.98387	672	9040.377	143.3317	673	4634.875	0.0	0	0.0	0.0	0	0.0
57	1678811606893051.2	0.00037916471861487456	3526	211.98328	508	6767.02	270.74615	509	8202.522	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	613.1428	1390	19225.707	0.0	0	0.0	0.0	0	0.0
58	1678811611539992.8	6.454471553224969e-05	3696	239.98833	508	7651.1104	199.08032	508	6019.234	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	95.54932	1432	2794.943	0.0	0	0.0	0.0	0	0.0
62	1678811623253476.5	0.0010769824769444431	464	399.9754	508	13119.256	386.21124	508	12877.402	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	740.5573	624	23480.186	0.0	0	0.0	0.0	0	0.0
63	1678811625853523.5	0.0001501099048420577	1544	403.9739	511	14187.697	708.7075	509	22989.12	0.0	0	0.0	0.0	0	0.0	331.9851	896	11163.379	298.61282	896	9905.759	0.0	0	0.0	0.0	0	0.0
64	1678811627156105.8	0.0002879177942531755	1298	495.95535	509	17563.762	258.79675	509	7841.447	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	217.87338	833	6284.9116	377.67593	834	12306.088
66	1678811629881209.0	0.00020649777953390798	448	407.97244	509	13715.376	525.54443	508	25146.824	0.0	0	0.0	0.0	0	0.0	491.95682	621	17043.559	238.89641	620	8462.612	0.0	0	0.0	0.0	0	0.0
67	1678811632703520.8	0.000137864991652072	1126	367.97183	509	12719.916	465.84338	508	15108.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	190.14517	790	6439.566	0.0	0	0.0
68	1678811632805442.8	0.003969080001403328	12602	651.9439	509	21402.908	302.59595	510	8947.494	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	51.50406	3660	1395.9689	0.0	0	0.0
70	1678811634012130.0	0.0004411085609522431	7416	983.9598	512	40142.5	250.83047	510	7942.3447	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	67.34436	2365	2000.3273	0.0	0	0.0
72	1678811637274299.5	0.0002031511280952775	4236	279.98892	509	9563.531	378.24493	509	12324.761	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	245.60161	1568	7651.8105	278.29724	1568	9681.278
73	1678811637370652.8	0.00441471075606559	252	379.9828	510	13111.314	290.6465	510	9161.192	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	411.98633	573	12958.216	0.0	0	0.0
74	1678811640781208.0	6.243005893383581e-05	9048	239.98831	508	7939.1426	179.16461	506	5779.404	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	55.45642	2769	1471.9181	0.0	0	0.0
76	1678811641017423.8	0.0017224894263324513	13506	543.953	509	18347.145	342.41202	510	10692.79	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	75.64899	3886	1883.9369	0.0	0	0.0	0.0	0	0.0
78	1678811641287919.5	0.0014578909702308706	10862	399.9754	508	13676.104	306.5791	509	9605.298	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	71.66583	3224	2056.937	0.0	0	0.0	0.0	0	0.0
81	1678811648837338.0	8.911779584232967e-05	1646	275.99042	509	9139.758	306.5791	508	9850.016	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	293.1379	919	9254.912	87.46002	921	2927.0334
82	1678811651560680.5	0.00015022635066489604	480	291.9845	508	9187.299	334.44574	508	10967.935	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	302.59595	628	9721.656	0.0	0	0.0	0.0	0	0.0
83	1678811651726939.8	0.0010784620642711692	9802	387.97983	510	13303.281	346.39517	509	11805.443	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	238.8964	2960	7051.793	0.0	0	0.0	0.0	0	0.0
84	1678811652083193.2	0.000897758547102889	4660	363.97333	508	12091.29	226.94696	508	7322.524	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	159.26425	1673	4718.952	0.0	0	0.0	0.0	0	0.0
87	1678811654819660.0	0.0009809035324118347	12660	227.97737	507	7523.584	270.74615	509	8145.875	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	143.3317	3673	4014.2175	0.0	0	0.0	0.0	0	0.0
